B1Y2H6	B1Y2H6
B6EI99	A9KYJ1
B6EI99	Q12Q43
B6EI99	A3QC62
B6EI99	A4Y961
B6EI99	B8CJN2
B6EI99	Q0HL88
B6EI99	A1RHD5
B6EI99	Q5QVF0
B6EI99	A5UCB8
B6EI99	A7ZX67
B6EI99	Q5PFS8
B6EI99	P61715
B6EI99	B5BDB5
B6EI99	B1J034
B6EI99	P66039
B6EI99	P61714
B6EI99	Q65TX7
B6EI99	P66038
B6EI99	B1LJG5
B6EI99	A8GAN7
B6EI99	B2U4L8
B6EI99	Q3Z4Z4
B6EI99	B0UU22
B6EI99	B5Y0X6
B6EI99	A6T5E8
B6EI99	A1JNS3
B6EI99	B2K6T3
B6EI99	A9R2J8
B6EI99	Q1CL92
B6EI99	Q66DV8
B6EI99	A7ZIG8
B6EI99	B1JIE2
B6EI99	B7MD73
B6EI99	B5EXF8
B6EI99	P61717
B6EI99	B7MQD0
B6EI99	Q57SE7
B6EI99	B7M3Q4
B6EI99	B5R6R8
B2SNW4	B2SNW4
B2SNW4	Q4UQU3
B2SNW4	Q3BXI0
Q606W5	Q606W5
Q21H48	Q21H48
Q1H501	Q1H501
A0KHC4	A0KHC4
Q3AG04	Q3AG04
Q02SH1	Q02SH1
Q02SH1	Q1I4F3
Q02SH1	C3K2M6
Q02SH1	A6V0A6
Q02SH1	B0KJY2
Q02SH1	B1J136
Q02SH1	Q4ZN76
A0KKF0	A0KKF0
Q31IC8	Q31IC8
Q4QLA4	Q4QLA4
Q4QLA4	A6VQ01
Q4QLA4	A5UCR5
Q4QLA4	P45100
Q4QLA4	Q65U59
Q4QLA4	B0BNW7
Q4QLA4	A3N049
Q4QLA4	B0UVZ4
Q4QLA4	Q0I256
Q2NRJ6	Q2NRJ6
Q2NRJ6	A7FFF7
Q2NRJ6	A8AP21
Q2NRJ6	A7MR02
Q2NRJ6	C6CEU3
Q2NRJ6	B5F4S7
Q2NRJ6	B7MLC7
Q2NRJ6	A9MSA2
Q2NRJ6	P0ADR7
Q2NRJ6	A9N2J6
Q2NRJ6	C6USC2
Q2NRJ6	B7NVV4
Q2NRJ6	B7MYV7
Q2NRJ6	C4ZZW1
Q2NRJ6	B1XDL5
Q2NRJ6	A8A3U1
Q2NRJ6	B1IU35
Q2NRJ6	P0ADR6
Q2NRJ6	A4WDY6
Q2NRJ6	B7LVW4
Q2NRJ6	Q31XI5
Q2NRJ6	B5XUY0
Q2NRJ6	A6TD87
Q2NRJ6	A9R2P6
Q2NRJ6	A4TLA5
Q2NRJ6	C6CC07
A1BGN4	A1BGN4
A9FFJ6	A9FFJ6
A0QTF8	A0QTF8
Q2NJY3	Q2NJY3
Q3AQ14	Q3AQ14
P59520	P59520
Q0C639	Q0C639
Q4FNT6	Q4FNT6
B5YIB4	B5YIB4
Q5P793	Q5P793
B7KGN3	B7KGN3
Q5HCM2	Q5HCM2
Q5HCM2	Q2YZ69
A6TKT6	A6TKT6
Q1IX39	Q1IX39
B4U7M4	B4U7M4
C3P503	C3P503
C3P503	A0RBL9
C3P503	A7GMU7
C3P503	B9IUZ7
C3P503	Q63DX1
C3P503	A9VLH4
Q039B2	Q039B2
P58880	P58880
B4STN9	B4STN9
B4STN9	Q4UU42
B4STN9	P58882
B4STN9	Q5H0K9
Q3AD52	Q3AD52
A7HCR6	A7HCR6
Q02YW3	Q02YW3
Q02YW3	A2RKS5
A7WZL0	A7WZL0
A7WZL0	A6TZK2
A7WZL0	Q2FIR7
A7WZL0	Q5HHU9
A7WZL0	A6QF32
A7WZL0	A8YZZ5
A7WZL0	Q4L4E7
Q4QN74	Q4QN74
Q4QN74	Q65RB1
Q30TA4	Q30TA4
Q493X3	Q493X3
Q607M3	Q607M3
B8EE43	B8EE43
B8EE43	A1S3I3
B8EE43	A3D837
B8EE43	B0TTF2
B8EE43	A3QAN3
B8EE43	A4Y9Z9
B8EE43	A0KTG8
B8EE43	Q0HFL0
B8EE43	Q0HYC0
B8EE43	A1RGD1
B8EE43	B8CVJ1
Q59465	Q59465
O78497	O78497
O60760	O60760
D3S0H7	D3S0H7
Q2FJ70	Q2FJ70
Q2FJ70	Q49WT0
Q2FJ70	Q2G0K7
Q2FJ70	Q2YS94
Q2FJ70	Q5HIA5
Q2FJ70	Q5HRH7
Q2FJ70	Q4L3P8
A7LB59	A7LB59
Q1CU16	Q1CU16
Q1CU16	Q17XG1
Q1CU16	B6JL97
Q1CU16	B5Z6N8
Q1CU16	B2UTX3
P53356	P53356
Q471H6	Q471H6
A6H0H4	A6H0H4
B0R541	B0R541
P35557	P35557
E7FHU4	E7FHU4
P94552	P94552
P56471	P56471
P15496	P15496
C3NMP1	C3NMP1
C3NMP1	C3MZ14
C3NMP1	C4KJA2
P9WG95	P9WG95
P9WG95	P9WG94
B8HNI6	B8HNI6
B8HNI6	B0CE35
B8HNI6	Q10WP7
B8HNI6	B7K0S6
B8HNI6	Q3MGX7
B8HNI6	B7KF23
B8HNI6	B1WNP1
B8HNI6	Q31MY7
B8HNI6	Q2JKN5
B8HNI6	A2CB87
B8HNI6	Q5N667
B8HNI6	A2BY22
B8HNI6	A5GMM6
B8HNI6	A2BSN6
B8HNI6	A5GRI8
B8HNI6	B0JRP2
B8HNI6	Q46JF6
B8HNI6	Q3ALC5
Q17X66	Q17X66
Q17X66	Q1CUH1
Q17X66	O25097
Q2NI95	Q2NI95
Q2NI95	A5UMJ9
B8D8F8	B8D8F8
Q02139	Q02139
O67703	O67703
A0A0D4BSN8	A0A0D4BSN8
Q28516	Q28516
A0A1P8B760	A0A1P8B760
A0RKB5	A0RKB5
A0RKB5	A9VMY8
A0RKB5	B7JDH9
A0RKB5	B7IMU0
A0RKB5	B7HBG1
A0RKB5	B7HUR5
A0RKB5	A7GUC8
A0RKB5	B9J3C5
A0RKB5	Q632E1
Q02RY8	Q02RY8
Q02RY8	C1DPG2
Q02RY8	O68822
Q02RY8	O86436
Q02RY8	Q1I5F9
Q02RY8	B0KQK8
Q02RY8	A4VNZ7
P81073	P81073
P91885	P91885
Q4WRV9	Q4WRV9
Q4WRV9	A1CNW6
Q4WRV9	B0XN37
Q4WRV9	A1D1S6
B2WMQ2	B2WMQ2
A2WPU3	A2WPU3
O97396	O97396
Q5RGQ2	Q5RGQ2
A2BZQ6	A2BZQ6
A6U9I7	A6U9I7
P95928	P95928
P31166	P31166
Q0BVB8	Q0BVB8
Q0BVB8	A5FVJ4
Q0BVB8	Q2RWT4
B1XUX7	B1XUX7
Q12LL4	Q12LL4
Q12LL4	A7MUE7
Q12LL4	A5F2N2
Q12LL4	C3LTV0
Q12LL4	A3D5Q5
Q12LL4	A9L5S5
Q12LL4	B0TNZ8
Q12LL4	B8CMY5
Q12LL4	Q0HHZ1
Q12LL4	A1RIP7
Q12LL4	B1KNJ9
F4JSH1	F4JSH1
Q58428	Q58428
A6M1Z8	A6M1Z8
Q0C545	Q0C545
Q5WEW9	Q5WEW9
C3LRV4	C3LRV4
C3LRV4	A7MXC0
C3LRV4	A5F4Z5
A7H097	A7H097
Q46B07	Q46B07
P30900	P30900
P59610	P59610
P59610	Q3SVN6
Q3A246	Q3A246
B2I1W9	B2I1W9
B2I1W9	A4XNY5
B2I1W9	B0VMC7
B2I1W9	B0VDE4
B2I1W9	Q1QSV4
B2I1W9	Q48QD3
B2I1W9	P50987
B2I1W9	A6VE40
B2I1W9	Q500N3
B2I1W9	Q31JG7
B2I1W9	Q21EF4
B2I1W9	Q4FVJ6
B0CIY4	B0CIY4
B0CIY4	B9JTJ2
B0CIY4	A9IZG7
B0CIY4	C0RFM4
B0CIY4	Q1MB73
B0CIY4	Q2K3P2
B0CIY4	Q169X5
A2BND8	A2BND8
A2BND8	A8G1Z9
A2BND8	Q31DH2
A0LEB1	A0LEB1
C5M1X2	C5M1X2
C3NZR4	C3NZR4
C3NZR4	A0RFD1
C3NZR4	B7JSV5
C3NZR4	B7ILG9
C3NZR4	B7H636
C3NZR4	Q63A07
B3PJM0	B3PJM0
B1L5R5	B1L5R5
A4FNI0	A4FNI0
Q0AX99	Q0AX99
Q03X08	Q03X08
B3QAH7	B3QAH7
B3QAH7	A5ETC5
Q5NPY8	Q5NPY8
A4J3A1	A4J3A1
Q2RR25	Q2RR25
Q0AZJ3	Q0AZJ3
A0PYE7	A0PYE7
A5UJQ8	A5UJQ8
O67049	O67049
Q46CB8	Q46CB8
P0A945	P0A945
Q1GV83	Q1GV83
Q1GV83	Q2NDN5
Q03021	Q03021
P84530	P84530
P84530	P16094
P84530	P22851
Q08698	Q08698
Q08698	P9WH75
Q2ILH7	Q2ILH7
Q2ILH7	A7HDY3
Q5HW84	Q5HW84
Q5HW84	A0RQJ7
Q5HW84	A7HZG0
Q5HW84	A1VYA3
C1DB32	C1DB32
C3NGF3	C3NGF3
C3NGF3	C3MZ62
C3NGF3	C3MX02
C3NGF3	C4KIE0
C3NGF3	C3N782
B7J921	B7J921
Q3JCY2	Q3JCY2
B7J8G6	B7J8G6
A1VC40	A1VC40
A1VC40	Q30YX3
Q2P1M0	Q2P1M0
Q2P1M0	B0RTZ3
Q2P1M0	B2I696
Q15VI3	Q15VI3
B4RZB4	B4RZB4
B3PKN1	B3PKN1
A6UP47	A6UP47
A6UP47	A9AAR1
A6UP47	A6VFY5
Q67J66	Q67J66
B5FEQ2	B5FEQ2
B5FEQ2	Q5E4P6
B5FEQ2	A5F8G8
Q5ZZI8	Q5ZZI8
Q5ZZI8	Q5X969
A7N0M8	A7N0M8
C5BR43	C5BR43
B3QS43	B3QS43
A4SYE2	A4SYE2
B1LAW7	B1LAW7
P75966	P75966
P9WH09	P9WH09
P9WH09	P9WH08
Q65SI5	Q65SI5
B6YQI6	B6YQI6
Q3KM65	Q3KM65
Q1QLI8	Q1QLI8
Q07762	Q07762
Q2L146	Q2L146
Q3AP34	Q3AP34
Q3AP34	B4SAK8
Q049Z9	Q049Z9
Q15WE9	Q15WE9
Q15WE9	B4RVJ6
Q2G0T1	Q2G0T1
C1DNF9	C1DNF9
C1DNF9	A6VF46
C1DNF9	A4VS84
C1DNF9	P0A168
C1DNF9	Q48BF0
C1DNF9	Q1I2H2
C6DYS3	C6DYS3
Q602M8	Q602M8
Q5N605	Q5N605
Q5N605	Q31MS4
O67069	O67069
P54084	P54084
P24657	P24657
Q5KXG8	Q5KXG8
Q5KXG8	C5D428
Q5KXG8	B7GHJ4
P38625	P38625
P38625	Q5APF2
P38625	Q0UHC4
Q1GBV3	Q1GBV3
B2SUK8	B2SUK8
P37696	P37696
P22503	P22503
Q1MQ89	Q1MQ89
P0AES7	P0AES7
P0AES7	P0A2I3
O54753	O54753
O54753	O14756
O54753	Q3T001
C6TA59	C6TA59
C6TA59	C6SZ50
C6TA59	A0A498JQK2
Q12341	Q12341
C4XL87	C4XL87
C4XL87	A0LNW5
Q1LW01	Q1LW01
Q1INI5	Q1INI5
P47846	P47846
Q18F28	Q18F28
O26839	O26839
Q39QM7	Q39QM7
Q39QM7	A1AUE7
Q39QM7	B3E2H7
Q39QM7	B5EBG8
Q39QM7	A5GCW2
Q1QQP5	Q1QQP5
Q1H397	Q1H397
P57779	P57779
M2XHU6	M2XHU6
Q5VRH4	Q5VRH4
Q64RE6	Q64RE6
Q64RE6	A6LAM0
Q64RE6	A6L2V6
A1BIW8	A1BIW8
C5D7P3	C5D7P3
C5D7P3	B1HVP7
C5D7P3	Q5KVC5
C5D7P3	A8FHR4
C5D7P3	O34520
P58835	P58835
A1VHE5	A1VHE5
A1VHE5	P62386
B1XQI2	B1XQI2
B1XQI2	B7K3A9
B1XQI2	B7KEI6
B1XQI2	P74561
B1XQI2	B0JGL3
B1XQI2	Q3M7Q7
B8GU31	B8GU31
B8GU31	Q603K2
B8GU31	Q3J6Q2
P16249	P16249
Q4UU45	Q4UU45
Q4UU45	B0RSL9
Q4UU45	Q3BUF2
Q4UU45	Q2P3J8
Q4UU45	Q5H0K6
Q4UU45	B2I5X6
Q4UU45	B0U3A8
B9MJR6	B9MJR6
Q30RM3	Q30RM3
Q47GP2	Q47GP2
A8HZS2	A8HZS2
P73058	P73058
A6V291	A6V291
A6V291	Q02QH1
A0RQR9	A0RQR9
Q3J7Y0	Q3J7Y0
Q03AR6	Q03AR6
A1R6P8	A1R6P8
A1R6P8	B8H8K7
A1R6P8	A9WSJ0
A1R6P8	B2GIP7
Q1AWM0	Q1AWM0
A6UFC2	A6UFC2
Q67LG6	Q67LG6
P60473	P60473
P60473	Q5PD68
P60473	P60475
A1VEW8	A1VEW8
A1VEW8	C0QHT9
A6SZ06	A6SZ06
A6SZ06	B2JF66
A6SZ06	Q473R0
A6SZ06	B2T0P6
A6SZ06	Q144E3
A6SZ06	B0C793
A6SZ06	B0VSC1
A6SZ06	B7GXU4
A6SZ06	A3M3F1
A6SZ06	P74386
A6SZ06	C3K5A2
A6SZ06	Q210F6
A6SZ06	A4XQ45
A6SZ06	Q4KJ09
A6SZ06	Q3KIT1
A6SZ06	Q4ZN07
A6SZ06	P0A4R3
A6SZ06	P0A4R2
Q1CMJ9	Q1CMJ9
Q1CMJ9	A7ZLX7
Q1CMJ9	A8AGR0
Q1CMJ9	A7MPR2
Q1CMJ9	B7URP8
Q1CMJ9	P0A6L8
Q1CMJ9	B5Z1X8
Q1CMJ9	B7NIJ4
Q1CMJ9	B7LZC3
Q1CMJ9	A8A074
Q1CMJ9	B1IRT9
Q1CMJ9	B7N4U6
Q1CMJ9	B6IAS4
Q1CMJ9	B1LF94
Q1CMJ9	A4WAF9
Q1CMJ9	A6T900
Q1CMJ9	Q0T4K8
Q1CMJ9	Q3Z1Q7
A9WZA3	A9WZA3
A9WZA3	A9MCA1
B1LA82	B1LA82
B1LA82	Q60040
C9WMM5	C9WMM5
Q15JF5	Q15JF5
A0A1D6E0S8	A0A1D6E0S8
Q58762	Q58762
Q2UK93	Q2UK93
Q2UK93	Q0CRC9
B1YHS1	B1YHS1
B8YG19	B8YG19
P27887	P27887
P27887	P17262
P27887	P08127
P27887	P06622
Q2PGV8	Q2PGV8
Q2UR38	Q2UR38
Q2UR38	B0XP71
Q2UR38	Q0CMH8
Q2UR38	Q5BAS1
P0DKI6	P0DKI6
O64556	O64556
O64556	O65924
P40289	P40289
O31433	O31433
P53144	P53144
D2TT52	D2TT52
D2TT52	A8AI35
D2TT52	P0A8D7
D2TT52	D5CE05
D2TT52	B7LT90
D2TT52	Q32E73
D2TT52	B5XXK9
D2TT52	B5RBF3
D2TT52	B5F961
A0A0B7P3V8	A0A0B7P3V8
O66426	O66426
C3VEQ2	C3VEQ2
Q160Y9	Q160Y9
Q4P2Q7	Q4P2Q7
Q2KD13	Q2KD13
Q2KD13	B9J8G8
Q2KD13	A9CKB4
P0AC29	P0AC29
P63335	P63335
P63335	P63334
P0DXJ5	P0DXJ5
P0DXJ5	P0DXJ4
P0DXJ5	Q3MKY2
B0R755	B0R755
B0R755	Q5UXY8
B0R755	Q48332
B0R755	Q18FB7
B0R755	Q3ITC8
A0A0K9RDW0	A0A0K9RDW0
P51174	P51174
P51174	Q60HI0
P51174	P79274
P51174	P15650
P68907	P68907
P68907	E7FDW2
A7H9Y1	A7H9Y1
A7H9Y1	B8JH48
A8Z6M6	A8Z6M6
A2RJR5	A2RJR5
A2RJR5	Q1JL45
A2RJR5	Q1JG69
A2RJR5	Q1J5Y6
A2RJR5	B1ICL6
A2RJR5	Q48SR6
A2RJR5	P0DD77
A2RJR5	B5XM46
A2RJR5	Q5M0W1
A2BV65	A2BV65
B7GLA4	B7GLA4
B7GLA4	A7GMN2
B7GLA4	B9IUT0
B7GLA4	Q63E31
B7GLA4	Q65KI6
B7GLA4	O31675
B7GLA4	A7Z3Y6
B7GLA4	C3P4F6
B7GLA4	C3LAL0
B7GLA4	B7IN35
B7GLA4	C1EM49
B7GLA4	Q03L16
B7GLA4	Q5M4S5
B7GLA4	A6LWG7
A7I1D0	A7I1D0
A7I1D0	A0RM81
Q5H288	Q5H288
Q5H288	Q3BQG4
Q5H288	Q2P553
Q5H288	B0U2I4
Q5H288	Q474K5
C4YKT4	C4YKT4
C4YKT4	P0CY32
Q55CA9	Q55CA9
Q55CA9	Q55CC0
Q62K91	Q62K91
Q62K91	Q1BPL3
P36946	P36946
Q4LA40	Q4LA40
O88451	O88451
O88451	P55006
O88451	O75452
D4ACP5	D4ACP5
D4ACP5	O94762
O54143	O54143
O51889	O51889
Q5JH27	Q5JH27
Q5JH27	B6YSW7
P34305	P34305
O75783	O75783
Q15N18	Q15N18
Q15N18	A5F3R4
Q15N18	B5RFS3
Q15N18	B4TB13
Q15N18	B4SZ26
Q15N18	A0KEG9
Q15N18	B5BIS9
Q15N18	A8ACT3
Q15N18	B7L8B6
Q15N18	B5YY28
Q15N18	B7MR01
Q15N18	B7M5C7
Q15N18	C4ZZ48
Q15N18	B1X9Z4
Q15N18	P0A8J9
Q15N18	B7NF85
Q15N18	B1LLV3
Q15N18	Q31UK5
Q15N18	A4WG30
Q15N18	B7VME9
Q15N18	B2VG58
Q15N18	C3LQR1
Q15N18	A7FD47
Q15N18	B2K046
Q15N18	Q1CNK3
Q15N18	B5XYY9
Q15N18	A4TRC8
Q15N18	A6TGG9
Q15N18	B1JQ11
Q15N18	A9MJ29
Q15N18	Q57HT6
Q15N18	B5QVH2
A0RR75	A0RR75
B1H0I0	B1H0I0
D5EBS7	D5EBS7
Q2FPM5	Q2FPM5
P0A949	P0A949
P0A949	P0A948
P0A949	P0A950
Q24W37	Q24W37
Q1MQJ5	Q1MQJ5
Q58473	Q58473
P50620	P50620
Q3SRV7	Q3SRV7
Q3SRV7	Q1QMB5
B1W4A5	B1W4A5
Q21UR3	Q21UR3
Q21UR3	A1W8J9
Q21UR3	A1TSE0
Q21UR3	A1VQF1
C6DDJ9	C6DDJ9
Q2N843	Q2N843
Q2N843	Q2GB53
Q2N843	Q5NQH8
A7MIS8	A7MIS8
A7MIS8	A6TEC2
A7MIS8	A9MPU2
A7MIS8	A4WER8
A7MIS8	B5FHV5
A7MIS8	B4T690
A7MIS8	Q5PC93
A7MIS8	B4TVV4
A7MIS8	Q0T0I4
A7MIS8	A7ZRW7
A7MIS8	B1XG88
A7MIS8	A8A4P1
A7MIS8	Q0TD22
A7MIS8	B1LFI2
A7MIS8	Q1R6P6
Q3IZI5	Q3IZI5
Q3IZI5	A3PMR2
Q3IZI5	A1B510
Q28VG7	Q28VG7
Q2SRU4	Q2SRU4
Q482P5	Q482P5
B8J829	B8J829
A8L8S7	A8L8S7
A8L8S7	Q2J4D1
C3NLR8	C3NLR8
C3NLR8	Q4J860
C3NLR8	C3MS47
C3NLR8	C4KKJ8
C3NLR8	C3N9R7
O14344	O14344
O24767	O24767
B2VJP2	B2VJP2
B2VJP2	B0URJ9
B2VJP2	B8F6Y7
B2VJP2	Q0I5A5
B2VJP2	B5Y2S3
B2VJP2	A6THJ4
A2X5H5	A2X5H5
O05545	O05545
P0DMK6	P0DMK6
A4XY43	A4XY43
A4XY43	C3K1M5
A4XY43	A5VYS4
A4XY43	B2HZI5
A4XY43	B0VNW2
A4XY43	B0VD51
A4XY43	B0UVL5
A4XY43	B5XNJ7
A4XY43	Q65RS7
A4XY43	B5FR85
A4XY43	B4TDB6
A4XY43	B4T0S2
A4XY43	Q5PNG1
A4XY43	A9N1X5
A4XY43	B5BAW6
A4XY43	A4WDB1
A4XY43	B2VI32
A4XY43	A5UAA8
A4XY43	Q60C64
A4XY43	B8CMW5
A4XY43	A8FXA5
A4XY43	A6TCF1
A4XY43	Q0HJF4
A4XY43	A1RJ52
A4XY43	B2TXV5
A4XY43	Q0T1Y9
A4XY43	P0A6C0
A4XY43	B7VJS6
A4XY43	C6DBJ1
A4XY43	C3LT01
A4XY43	B1JDR3
A4XY43	Q4ZX34
A4XY43	Q486Z0
A4XY43	A1SUI4
A4XY43	A7MGX8
A4XY43	B7LDC2
A4XY43	B7NRH9
A4XY43	B7MYG3
A4XY43	B7M7N3
A4XY43	B1XB05
A4XY43	B1IWD1
A4XY43	P0A6B7
A4XY43	B7N6B7
A4XY43	B6I5A2
A4XY43	B8E9D2
A4XY43	A3D577
A4XY43	Q080P6
A4XY43	B0TNY1
A4XY43	A3QFD5
A4XY43	A4Y7D7
A4XY43	Q47EN5
A4XY43	Q1H361
A4XY43	A9M029
A4XY43	B4RMB8
A4XY43	Q3IFI3
B7J4C0	B7J4C0
Q3IDQ6	Q3IDQ6
Q5SLX2	Q5SLX2
B2G5J0	B2G5J0
Q13BT8	Q13BT8
Q13BT8	Q2J164
Q13BT8	Q1QIJ6
Q13BT8	Q20YA7
Q4URC0	Q4URC0
Q4URC0	B0RUA1
Q4URC0	Q3BX03
B3QV82	B3QV82
B3QV82	B3EMU1
B3QV82	Q3B2H9
B3QV82	B4SE23
B3QV82	Q3APP2
B3QV82	B3QPS3
B3QV82	B4S5L1
Q2JNA9	Q2JNA9
B1LC43	B1LC43
B5ZSV9	B5ZSV9
B5ZSV9	A1URX2
B5ZSV9	Q57EP6
B5ZSV9	P58673
B5ZSV9	B9JAQ2
C4LD10	C4LD10
C4LD10	A4SIX8
A7HZE0	A7HZE0
A1TT41	A1TT41
A1TT41	A9BTA7
A1TT41	A1W4I7
A1TT41	Q21XZ3
C0R000	C0R000
B3ED51	B3ED51
B3ED51	Q3B4C0
B3ED51	B3EJF7
A0B9A2	A0B9A2
A7MT47	A7MT47
A7MT47	B7VII5
A7MT47	Q5E6Q8
A7MT47	B6EHK0
A7MT47	B6I0C6
A7MT47	B1LJN2
A7MT47	A1JNB1
A7MT47	C5BD16
A7MT47	A7FL86
A7MT47	A9R0Q7
A7MT47	Q1CL27
A7MT47	B7LV13
A7MT47	A4TPA4
A7MT47	Q66DP7
A7MT47	Q3Z4S5
A7MT47	Q2NV57
A7MT47	Q57S76
A7MT47	B4T9I1
A7MT47	A7ZIN4
A7MT47	B4SWY1
A7MT47	P69442
A7MT47	Q5PFK8
A7MT47	B7NIF6
A7MT47	C4ZUS8
A7MT47	B1XFR1
A7MT47	P0A1V4
A7MT47	P69441
A7MT47	B7N927
A7MT47	A6T5N7
A7MT47	B4F1Q2
A7MT47	A6WPI0
A7MT47	A9L567
A7MT47	Q12PB0
A7MT47	B0TP07
A7MT47	A4Y7T5
A7MT47	B8CN03
A7MT47	Q0HHZ7
A7MT47	A1RIQ3
A7MT47	B1KNK5
A7MT47	A1S566
A7MT47	B8E732
A7MT47	Q15RT7
A7MT47	B4RU55
A7MT47	A4SLY1
A7MT47	Q4QNJ1
A7MT47	A5UAD6
A7MT47	A5UGF8
A7MT47	P24323
A7MT47	B0BQN2
A7MT47	A6VQC3
A7MT47	Q0I2Y5
A2BJY9	A2BJY9
P12532	P12532
P12532	O77814
P12532	P09605
A5EWQ0	A5EWQ0
Q03WN2	Q03WN2
Q03WN2	B1MYB3
P44424	P44424
B0TZ07	B0TZ07
A0KLX9	A0KLX9
A0KLX9	C4L8W0
A0KLX9	C3LNH9
A0KLX9	A7MV12
A0KLX9	A1JMK9
A0KLX9	B7LE16
A0KLX9	C4ZQ44
A0KLX9	A7ZYM0
A0KLX9	B1IW13
A0KLX9	P04951
A0KLX9	B6I8Z0
A0KLX9	C5BAD7
A0KLX9	A4W8T7
A0KLX9	A7FJV8
A0KLX9	B5F1S0
A0KLX9	B2KA34
A0KLX9	A9MHW5
A0KLX9	Q1CGH5
A0KLX9	Q57R10
A0KLX9	A4TN08
A0KLX9	B4TDQ5
A0KLX9	B1JQT6
A0KLX9	B4T152
A0KLX9	A9N7U4
A0KLX9	A8GCI3
A0KLX9	C6DFA4
A0KLX9	B4ET34
A0KLX9	B2TUG1
A0KLX9	Q31YT2
A6Q784	A6Q784
A1W165	A1W165
P59893	P59893
B9L7R7	B9L7R7
A5GMV4	A5GMV4
Q46336	Q46336
Q46336	Q50LF1
C5BK13	C5BK13
O70023	O70023
P9WFS1	P9WFS1
P9WFS1	P9WFS0
P20692	P20692
B7H0P4	B7H0P4
B7H0P4	Q1Q8B2
P59427	P59427
F1LNJ2	F1LNJ2
P52478	P52478
Q12GA4	Q12GA4
Q12GA4	A1WKC0
Q2NR07	Q2NR07
Q2NR07	A7FN99
Q2NR07	Q1CE95
Q2NR07	Q66FH0
Q2NR07	B1JNE6
Q2NR07	P0AGK1
Q2NR07	B1LPK5
Q2NR07	B5F1Q3
Q2NR07	B5QZ59
Q2NR07	A1JRU3
Q2NR07	B5R7T3
Q2NR07	B4TDL7
Q2NR07	B4T1S9
Q2NR07	Q5PL17
Q2NR07	A9N1L3
Q2NR07	B5BJV7
Q2NR07	A8GKB7
Q2NR07	A6TGU9
Q2NR07	B2TX76
Q2NR07	C6DKC9
Q2NR07	Q327U7
Q2NR07	P0AGK3
Q2NR07	Q0SXQ7
Q2NR07	B5Z181
Q2NR07	Q3YUU4
Q2NR07	B7MRH2
Q2NR07	B7M7V3
Q2NR07	B1XC39
