P21215	P21215
A0A478ECY3	A0A478ECY3
A0A478ECY3	A0A482A9N4
A0A478ECY3	C8V4I9
A0A478ECY3	A0A5N6UX39
A0A478ECY3	Q5BEI9
A0A478ECY3	A0A384JTK5
A0A478ECY3	G0R6T8
B5VLD2	B5VLD2
B5VLD2	A6ZPT1
B5VLD2	P47051
A6SZN9	A6SZN9
A6SZN9	A3NWL8
A6SZN9	Q3JR41
A6SZN9	Q63T24
A6SZN9	Q2SWY6
A6SZN9	A4JF63
A6SZN9	B2JIB4
A6SZN9	Q13XC8
A6SZN9	B1XTV5
A6SZN9	Q3SKM9
A6SZN9	B3R2A5
A6SZN9	B1YS62
A6SZN9	A0K8D1
A6SZN9	Q39F55
A6SZN9	A9AIM6
A6SZN9	Q62JD6
A6SZN9	Q1BHH0
A6SZN9	B7V7U4
A6SZN9	Q1I638
A6SZN9	C3K607
A6SZN9	A5W838
A6SZN9	Q4ZWR6
A6SZN9	A4XWS9
A6SZN9	Q5H1F2
A6SZN9	Q3BVL6
A6SZN9	B4F258
A6SZN9	B4TYE1
A6SZN9	B5Y1J0
A6SZN9	B2U324
A6SZN9	A6T4Y3
A6SZN9	Q0T828
A6SZN9	Q65VE2
A6SZN9	Q3Z5H7
A6SZN9	C6DAJ5
A6SZN9	P72215
A6SZN9	A7MI18
A6SZN9	P32201
A6SZN9	A7ZHS1
A6SZN9	Q1CAM2
A6SZN9	B7UJ82
A6SZN9	A9R384
A6SZN9	B7MBG2
A6SZN9	Q667K1
A6SZN9	B7LGP3
A6SZN9	B1JQH2
A6SZN9	Q493C0
A6SZN9	B7NIE3
A6SZN9	A1A7M5
A6SZN9	Q0TLF2
A6SZN9	B1LGY3
A6SZN9	Q1RG08
A6SZN9	B7LW80
A6SZN9	B5F8U2
A6SZN9	Q4QLM5
A6SZN9	A9MPI0
A6SZN9	P43887
A6SZN9	Q57T27
A6SZN9	C4K437
A6SZN9	B5R420
A6SZN9	B5RHG6
A6SZN9	Q0I4M4
A6SZN9	Q5PD73
A6SZN9	B0UW61
A6SZN9	C0Q6K4
A6SZN9	B5F9W4
A6SZN9	B7VIQ6
Q2IPK1	Q2IPK1
Q2IPK1	Q1D2K0
Q2IPK1	B2SYW8
Q2IPK1	B2JHF3
Q2IPK1	Q13TZ9
Q2IPK1	Q48EG4
Q2IPK1	B4SJY1
Q2IPK1	B2FPA9
Q2IPK1	B4E5Y5
Q2IPK1	C5BP28
Q2IPK1	Q0BIJ4
Q2IPK1	Q39JW3
Q2IPK1	A4JBA1
Q2IPK1	B0RV99
Q2IPK1	Q3BXE6
Q2IPK1	B2SNZ9
Q2IPK1	Q5GW46
Q2IPK1	Q1GZ08
Q2IPK1	Q0VRZ6
A1W908	A1W908
A1W908	A1TN79
A1W908	B1XXI5
A1W908	A1VN50
A1W908	A9BMM2
A1W908	C5CKT0
A1W908	Q12A41
A1W908	Q5NZG5
A1W908	A1K6R1
A1W908	Q13XC6
A1W908	B2JIB6
A1W908	B1YS64
A1W908	Q0BE25
A1W908	A9AIM4
A1W908	A3MKT2
A1W908	A3NWM0
A1W908	A3NAT7
A1W908	Q63T22
A1W908	Q3SKN1
A1W908	Q1H149
A9ND59	A9ND59
A5ICX5	A5ICX5
A5ICX5	Q5WVN3
A5ICX5	Q5X499
Q1QBV9	Q1QBV9
Q1QBV9	Q4FS43
O22833	O22833
A1UUG9	A1UUG9
Q4HVQ9	Q4HVQ9
Q4HVQ9	Q58FL6
Q4HVQ9	Q2HZ33
Q4HVQ9	Q2GN26
Q4HVQ9	P0CM02
Q5UZ50	Q5UZ50
Q5UZ50	Q3IMD8
O54782	O54782
O54782	Q28949
O54782	Q5RDJ3
K5BE02	K5BE02
E6ENP9	E6ENP9
P0A5J5	P0A5J5
P0A5J5	A1KJP9
P0A5J5	C1APB4
P0A5J5	P9WK16
P0A5J5	P9WK17
P0A5J5	A4TAC4
P0A5J5	Q1B860
P0A5J5	A3Q0E7
P0A5J5	A1UGU7
P0A5J5	A0PSI5
P0A5J5	B2HSY2
P0A5J5	A1T9P9
P0A5J5	A4YM47
P0A5J5	Q3SNX3
P0A5J5	B3QKU1
P0A5J5	B2S793
P0A5J5	Q5YWU1
P0A5J5	B7V467
P0A5J5	Q1MNB0
P0A5J5	B9JG75
P0A5J5	B9JXY6
P0A5J5	A6UEL4
P0A5J5	Q2YRK5
P0A5J5	A6WYD2
P0A5J5	Q57BM8
P0A5J5	A9M752
P0A5J5	A5VS09
P0A5J5	C5D2K6
P0A5J5	A4IN50
P0A5J5	A1U1Q6
P0A5J5	A9BRF0
P0A5J5	A0QGM8
P0A5J5	B1MB69
Q5V463	Q5V463
Q21902	Q21902
Q21902	Q0V8B7
Q21902	P33992
Q21902	Q561P5
B9KNB6	B9KNB6
Q3YZU3	Q3YZU3
Q3YZU3	B5YXQ7
Q3YZU3	B7MXU6
Q3YZU3	B7M5U6
Q3YZU3	B1X8X7
Q3YZU3	B1IXS3
Q3YZU3	P37355
Q3YZU3	B6I7K7
Q3YZU3	B5XNX1
Q3YZU3	B5FPE7
Q3YZU3	B5R2Y9
Q3YZU3	B4SYY0
Q3YZU3	Q5PN75
Q3YZU3	B5BCN7
Q3YZU3	Q32DS5
Q3YZU3	A7FGT3
Q3YZU3	Q1C6D8
Q3YZU3	B2K7Z2
Q3YZU3	A9R6I9
Q3YZU3	A4TM07
Q3YZU3	Q669C8
Q3YZU3	A7MHU5
Q3YZU3	A8GGZ0
B1ZMW8	B1ZMW8
Q4JC71	Q4JC71
C0ZB07	C0ZB07
C0ZB07	Q2RI72
A6VFM7	A6VFM7
A6VFM7	A6UU64
Q48S56	Q48S56
Q48S56	Q1JFS6
Q48S56	P0CZ77
Q48S56	B9DV19
Q48S56	Q5XAV7
P80575	P80575
A8F9S1	A8F9S1
A8F9S1	P37944
Q4R7U8	Q4R7U8
P9WPX4	P9WPX4
P9WPX4	P63628
Q4K840	Q4K840
Q4K840	O50177
Q4K840	A5W0D8
Q4K840	A6VA73
C7EXK4	C7EXK4
C7EXK4	P98200
C7EXK4	Q29449
C7EXK4	P70704
Q12674	Q12674
P87248	P87248
Q5EAE9	Q5EAE9
P81177	P81177
Q0C8B3	Q0C8B3
Q0C8B3	P79021
Q0C8B3	A2QFV9
Q5YR63	Q5YR63
Q40024	Q40024
Q40024	B6ECN9
Q40024	G5DDC2
Q40024	P28237
Q40024	C0P9J6
Q40024	A0A0E3T552
Q40024	O24174
Q40024	O04895
Q40024	P42757
P38891	P38891
P0ACE1	P0ACE1
P0ACE1	P0ACE0
P0ACE1	P0ACE2
Q54CP4	Q54CP4
O08349	O08349
P9WIP2	P9WIP2
P9WIP2	O07134
A7NF26	A7NF26
P30342	P30342
P30342	P16172
P80877	P80877
P80877	A8FCD2
P80877	Q4L330
P80877	A7WY46
P80877	Q2G122
P80877	A5IPT7
P80877	P65342
P80877	P65343
P80877	A8YZI1
P80877	Q5HS05
P80877	C3LI71
P80877	A0RI12
P80877	B7IVP2
P80877	B7H8Z2
P80877	B7HMX7
P80877	A7GS30
P80877	Q635S6
B0TUB8	B0TUB8
B0TUB8	B6J3Q9
B0TUB8	A3M4V2
B0TUB8	B0VC98
B0TUB8	A1SZJ9
B0TUB8	Q60CG7
B0TUB8	Q5ZTY6
B0TUB8	Q5WV18
B0TUB8	A5F9H4
B0TUB8	Q65UT4
B0TUB8	Q087Q9
B0TUB8	B1JNQ2
B0TUB8	A4Y3R7
B0TUB8	Q0HM65
B0TUB8	A1RN71
B0TUB8	Q32C11
B0TUB8	Q0T0V0
B0TUB8	B8D9I9
B0TUB8	P0A820
B0TUB8	P57486
B0TUB8	Q3YXS9
B0TUB8	B8D7U1
B0TUB8	B3H1W3
B0TUB8	B0BQ17
B0TUB8	Q5E7R2
B0TUB8	B4RWC7
B0TUB8	A7ZR64
B0TUB8	B5YQD9
B0TUB8	C6DFI3
B0TUB8	C5A0L1
B0TUB8	B1XFA4
B0TUB8	B7VKB3
B0TUB8	A8A481
B0TUB8	B1IT65
B0TUB8	C3LRY9
B0TUB8	B1LDF1
B0TUB8	B5FUK0
B0TUB8	A4WE78
B0TUB8	B5RE50
B0TUB8	B2VF06
B0TUB8	B4T5J6
B0TUB8	Q5PJJ2
B0TUB8	A1JPS4
B0TUB8	A8APG1
B0TUB8	B5BFP7
B0TUB8	A7FEZ7
B0TUB8	Q1CB69
B0TUB8	B4TV58
B0TUB8	B2K0S7
B0TUB8	A9L1M6
B0TUB8	A9R314
B0TUB8	Q12QA6
B0TUB8	A4TI83
B0TUB8	B2I898
B0TUB8	Q493F2
B0TUB8	B0RV66
B0TUB8	B3DRM6
B0TUB8	B8DTW8
B0TUB8	A1A0T9
B0TUB8	B7GUQ1
B0TUB8	A4ULF8
B0TUB8	A0A9E8G339
B0TUB8	A9PHE9
B0TUB8	A7Q0V4
B0TUB8	P50301
B0TUB8	P23686
B0TUB8	A4PU48
B0TUB8	Q5DNB1
B0TUB8	P93254
B0TUB8	P49611
B0TUB8	P49612
B0TUB8	A9NUH8
B0TUB8	P43280
B0TUB8	A6XMY9
B0TUB8	A7PQS0
B0TUB8	P50302
B0TUB8	A4S779
B0TUB8	Q00VB2
B0TUB8	P93438
B0TUB8	P49613
B0TUB8	A9NYY0
B0TUB8	Q38JH8
B0TUB8	B0LXM0
B0TUB8	A7NVX9
B0TUB8	P50303
B0TUB8	O22338
B0TUB8	P47916
B0TUB8	Q4LB22
B0TUB8	A9P2P4
B0TUB8	P43282
B0TUB8	A7QJG1
B0TUB8	A7PRJ6
B0TUB8	C3PG24
B0TUB8	C4LIT2
B0TUB8	A0LF65
B0TUB8	Q1GND0
B0TUB8	Q5NQV7
B0TUB8	A9HE98
B0TUB8	Q5FSK6
B0TUB8	Q0BPF5
B0TUB8	A5FXD8
B0TUB8	Q2GBP1
B0TUB8	Q2IZR2
B0TUB8	Q13AQ6
B0TUB8	Q28UI9
B0TUB8	B8IST7
B0TUB8	B7KW92
B0TUB8	B1M4Z8
B0TUB8	B0UPH0
B0TUB8	Q4FNN1
B0TUB8	B1XSH9
B0TUB8	A0KBF2
B0TUB8	Q1H4X2
B0TUB8	Q04FL3
B0TUB8	B2UR09
B0TUB8	A5FRV2
B0TUB8	Q3Z943
B0TUB8	B0KC73
B0TUB8	Q5YTN0
B0TUB8	P61945
B0TUB8	C4XPZ6
B0TUB8	C6C1U5
B0TUB8	Q21RM4
B0TUB8	A1W3X4
B0TUB8	A2SKW6
B0TUB8	B1Y6S3
B0TUB8	B4ULF7
B0TUB8	A7H6N1
B0TUB8	A8FGH7
B0TUB8	C1CJL0
B0TUB8	Q03GG8
B0TUB8	B7JT32
B0TUB8	B5E364
B0TUB8	B7H9C7
B0TUB8	A7HJA9
B0TUB8	Q632S5
B0TUB8	Q65FV8
B0TUB8	B8ZNB7
B0TUB8	A9VLC6
B0TUB8	C1KVW3
B0TUB8	A0AJB9
B0TUB8	A7Z7Y9
B0TUB8	B2INE5
B0TUB8	O83772
B0TUB8	A9BHX2
B0TUB8	A8F5B8
B0TUB8	A5ILS4
B0TUB8	B1LB17
B0TUB8	A5U294
B0TUB8	P9WGV0
B0TUB8	A1T8H7
B0TUB8	A0QI26
B0TUB8	B8ZUM2
B0TUB8	A1UFL0
B0TUB8	Q1B9F3
B0TUB8	B8I4C1
B0TUB8	Q2RK28
B0TUB8	A4J945
B0TUB8	Q0SR05
B0TUB8	A7X3N2
B0TUB8	A6U2Q1
B0TUB8	Q2G1W4
B0TUB8	A6QHX0
B0TUB8	P66766
B0TUB8	P50307
B0TUB8	B9DN19
B0TUB8	Q4L7C7
B0TUB8	Q49YL6
B0TUB8	B1N092
B0TUB8	Q2SS11
B0TUB8	A2CBU3
B0TUB8	A5GR07
B0TUB8	Q3AWE6
B0TUB8	A9BDW6
B0TUB8	A2BUU2
B0TUB8	Q31CL7
B0TUB8	Q46H57
B0TUB8	P61946
B0TUB8	A5GA66
B0TUB8	Q3A388
B0TUB8	Q311V1
B0TUB8	A0LCX5
B0TUB8	A3DHM4
B0TUB8	Q3AFS4
B0TUB8	Q67T90
B0TUB8	Q2RVX7
B0TUB8	B2IUI4
B0TUB8	Q2JIN3
B0TUB8	B1WZM0
B0TUB8	Q5N1I9
B0TUB8	Q10VU5
B0TUB8	B5Z9W8
B0TUB8	Q1CUW4
B0TUB8	B2US27
B0TUB8	A4G977
B0TUB8	A7GU40
B0TUB8	A0RJZ7
B0TUB8	B2G8G3
B0TUB8	B0REV4
B0TUB8	A5CRX0
P57715	P57715
P57715	Q5UY71
P57715	D4GY94
P57715	M0GNC6
J9PY59	J9PY59
C8CP46	C8CP46
A5D2K7	A5D2K7
A5D2K7	Q3ACA8
A8Z5W4	A8Z5W4
A8Z5W4	A6H0G9
A9BIS3	A9BIS3
Q5JHN5	Q5JHN5
Q0W0P5	Q0W0P5
Q0W0P5	Q12ZP8
B6YQY8	B6YQY8
B6YQY8	A0M376
B6YQY8	Q64YZ5
B6YQY8	Q5LHZ1
Q12611	Q12611
M1T9N7	M1T9N7
Q1MB73	Q1MB73
Q1MB73	Q2K3P2
Q1MB73	A5VAA0
Q1MB73	A7I3C8
Q1MB73	A7GXA8
Q1MB73	A1AX52
Q1MB73	B1I1D1
Q1MB73	B8FWX3
Q1MB73	Q24ZG7
Q1MB73	C3PB96
Q1MB73	A0RJM3
Q1MB73	B7JS05
Q1MB73	B7IK28
Q1MB73	B7H6Y4
Q1MB73	A4XNY5
Q1MB73	A9VKE0
Q1MB73	A1ATU1
Q1MB73	A9BIA3
Q1MB73	B2TQ24
Q1MB73	B9M377
Q1MB73	Q39Z69
Q1MB73	C5D678
Q1MB73	A3DBU0
Q1MB73	Q0TTA6
Q1MB73	B0VMC7
Q1MB73	B0VDE4
Q1MB73	Q48QD3
Q1MB73	P50987
Q1MB73	A6VE40
Q1MB73	Q500N3
Q1MB73	Q31JG7
Q1MB73	B3E9X6
Q1MB73	B0T2T7
Q1MB73	Q169X5
Q1MB73	Q2GFQ7
Q1MB73	A5EB50
Q1MB73	Q2J1X2
Q1MB73	Q20WT9
Q1MB73	Q0AM30
Q1MB73	P59613
Q1MB73	A4Z1S4
Q1MB73	C0RFM4
Q1MB73	B9JTJ2
Q1MB73	Q13CL5
Q1MB73	Q2VYN2
Q1MB73	A9IZG7
Q1MB73	B0CIY4
Q1MB73	B8ILR2
Q1MB73	B3QCB2
Q1MB73	Q2RXE3
Q1MB73	B1ZKR9
Q1MB73	B1M509
Q1MB73	B0UJ26
Q1MB73	Q0A574
Q1MB73	Q1QSV4
Q1MB73	Q21EF4
Q1MB73	Q609I6
Q1MB73	B2V6Y7
Q1MB73	B8DN65
Q1MB73	Q1MQL6
Q1MB73	C6BTR8
Q1MB73	A1VRW9
Q1MB73	Q21XR4
Q1MB73	A1K451
Q1MB73	C1D665
Q1MB73	Q5FA15
Q1MB73	A2SET3
Q1MB73	A1TNJ5
Q1MB73	B9MDU0
Q1MB73	A0LEB1
Q1MB73	Q67S72
Q1MB73	Q0K7M0
Q1MB73	Q2T079
Q1MB73	A4JGV8
Q1MB73	B2T1C7
Q1MB73	Q143B9
Q1MB73	B1XVG9
Q1MB73	Q1LJQ2
Q1MB73	A0K9K2
Q1MB73	P59615
Q1MB73	Q474V6
Q1MB73	A2SAG6
Q1MB73	A1V5V1
Q1MB73	B1JWR5
Q1MB73	Q1BUI4
Q1MB73	Q3ZYF9
Q1MB73	Q3Z726
Q1MB73	Q4FVJ6
Q1MB73	B2I1W9
Q1MB73	Q1IWM5
Q1MB73	C1CXS0
P59620	P59620
A4SD12	A4SD12
A4SD12	Q3AQ41
A4SD12	B3QQU6
A4SD12	B3ENJ1
A4SD12	A1BIP2
Q3A2I0	Q3A2I0
Q3A2I0	A8A0N9
Q3A2I0	Q32GE2
Q3A2I0	Q0THD6
Q3A2I0	O87007
Q3A2I0	B1IQ63
Q3A2I0	Q0T478
Q3A2I0	B6IBD3
Q3A2I0	Q1RBA3
Q3A2I0	B5QVU3
Q3A2I0	B5RAU8
Q3A2I0	A7ZMF8
Q3A2I0	B4TGJ6
Q3A2I0	B5YPY0
Q3A2I0	Q5PH79
Q3A2I0	B7NTU3
Q3A2I0	A9N159
Q3A2I0	B7M0P9
Q3A2I0	P24670
Q3A2I0	C4ZYF5
Q3A2I0	P58687
Q3A2I0	A6T4L2
Q3A2I0	B5Y1W9
Q3A2I0	P35146
Q3A2I0	B9E0D7
Q3A2I0	A0PYE7
Q3A2I0	B2TQ57
P45951	P45951
P19891	P19891
P19891	Q5ZJU3
P19891	Q61024
P19891	Q5R6W9
P19891	P49088
P19891	Q1LZA3
Q5JIW4	Q5JIW4
A6W614	A6W614
A6W614	B7UJ66
A6W614	B4TJ09
A6W614	B7MB92
A6W614	A6SW90
A6W614	A9N735
A6W614	B7LHN6
A6W614	A9IQ90
A6W614	B5YS62
A6W614	B5XSX1
A6W614	B7NKP0
A6W614	P59607
A6W614	B7N0V6
A6W614	B7M079
A6W614	A4YJX9
A6W614	C4ZSR2
A6W614	A8A4Y7
A6W614	A8AQ63
A6W614	A1AG76
A6W614	B1IQV0
A6W614	P0A6E4
A6W614	B4RQS8
A6W614	Q31W50
