Q0QFQ1	Q0QFQ1
B3PZG1	Q5FF20
B3PZG1	B8GPS1
B3PZG1	A2SB60
B3PZG1	Q608K0
P37529	P37529
P53550	P53550
Q569Z5	Q569Z5
Q569Z5	Q4TVV3
Q569Z5	Q5ADL0
Q569Z5	A3LQ55
Q569Z5	P21372
P53839	P53839
B7K189	B7K189
B7K189	B0JLN5
B7K189	P74507
B7K189	B7KGG1
B7K189	Q5PAE9
B7K189	Q49006
B7K189	P64269
B7K189	P64270
B7K189	Q5HQV1
B7K189	Q4L4K6
B7K189	Q49W02
B7K189	A8LKJ5
B7K189	A1B4Z9
B7K189	P59174
B7K189	A2C700
B7K189	B0CA77
B7K189	A3DBQ2
B7K189	B8CYG0
B7K189	A9KPF4
B7K189	Q5KVE6
B7K189	A7GUR8
B7K189	Q631M1
B7K189	D5DNA8
B7K189	A4ISP5
B7K189	Q1XDA8
B7K189	Q2GKV7
B7K189	Q18GK9
B7K189	Q3IS17
B7K189	B2UMU5
B7K189	A1AXW7
B7K189	A8FKM1
B7K189	Q1ISS4
B7K189	P56196
B7K189	Q1CSQ0
B7K189	A0LDF3
B7K189	Q329P2
B7K189	Q57IC9
B7K189	A9MVK6
B7K189	Q3YVX7
B7K189	A7ZTG6
B7K189	A8A677
B7K189	I6LDA6
B7K189	Q4VWF8
B7K189	A4ST23
B7K189	C1DDB1
B7K189	A0PYP3
B7K189	A6LR07
B7K189	Q181T7
B7K189	A5N2N6
B7K189	Q1GZ82
B7K189	A9KUB8
B7K189	Q12HV5
B7K189	P59175
B7K189	A4Y1E3
B7K189	A0KR77
B7K189	Q0HP91
B7K189	Q2S026
B7K189	B9LBA2
B7K189	B8GBF7
B7K189	Q42908
B7K189	P30792
B7K189	Q4A992
B7K189	Q5ZZU2
B7K189	Q4A7D1
B7K189	Q2NJ40
B7K189	P47669
B7K189	A9N970
B7K189	A9KF70
B7K189	Q4A5A8
B7K189	A6L050
B7K189	Q5LIL0
B7K189	Q5HB16
B7K189	Q5FFL8
B7K189	Q3YRU6
B7K189	Q4KJR8
